Periodicite,Moteur,Fichier,Extension
mensueldebutmois,univers_paneliste,secto_groupement,csv
mensueldebutmois,univers_paneliste,implantation,csv
mensueldebutmois,univers_paneliste,cegedim_sectorisations,csv
mensueldebutmois,univers_paneliste,zone_sox,csv
mensueldebutmois,travelling,nb_jours_calls,csv
mensueldebutmois,sox,zone_sox,csv
mensueldebutmois,sox,coefficient_grosse_pharmacie,csv
mensueldebutmois,stocks,ph_criteres,csv
mensueldebutmois,stocks,qps_ignore,csv
mensueldebutmois,stocks,tr_achdir,csv
mensueldebutmois,stocks,tr_ca,csv
mensueldebutmois,stocks,tr_urbain,csv
mensueldebutmois,stocks,cip_supp,csv
mensueldebutmois,stocks,liste_noire_stocks,csv
mensueldebutmois,sig_relocalise,sig_relocalise_mensuel,csv